dataset,dc_nrmse,fail_reason,h2_amp_err,h2_live_fraction,h2_phase_err,h2_weak,h3_amp_err,h3_live_fraction,h3_peak_shift,h3_phase_err,h3_weak,h4_amp_err,h4_live_fraction,h4_phase_err,h4_weak,p_E0_eff,p_gamma,p_k0,p_kf,sample,status,total_nrmse,verdict
FT8,2.0536396508763472e-06,,1.4208241372155946e-05,0.9964852525545329,0.000136526711934426,0,1.753747352386552e-05,0.995217044713385,0.0,0.000393522723484363,0,9.055525335531942e-05,1.0,0.000975105948040067,0,1.4653529886156322,9.628782497937233e-11,250.3437352127087,503.06741208929213,8,ok,3.5955861376951683e-05,PASS
FT2,1.5923406000346374e-06,,6.0943032969773984e-06,0.7757569660999899,0.00014745986156500246,0,3.4181717886467804e-05,0.9675082989638869,0.0,0.0013568379351456827,0,0.0001107468863694563,0.9949904436173423,0.003255620886455812,0,1.6319686492905021,5.994112376048845e-09,3.8270192256226085,2501.256637405098,9,ok,1.2075114091133842e-05,PASS
FT3,1.861582598266294e-06,,8.137126154763438e-06,0.8160299504850851,0.00021825185593127292,0,4.027171815546305e-05,0.9659434000241536,0.0,0.0020554259886558235,0,0.00017444822454734218,0.9884062638380098,0.0059413873904133885,0,1.6319686492905021,5.994112376048845e-09,3.8270192256226085,2501.256637405098,9,ok,2.198420698954335e-05,PASS
FT4,4.1468670574914535e-07,,9.087810769107809e-06,0.8919682117068054,0.00029985699338108684,0,3.741703707824773e-05,0.9858001532937997,0.0,0.0012215515130000743,0,0.00011198154826987228,0.9971358263746016,0.0049759821329737886,0,1.6319686492905021,5.994112376048845e-09,3.8270192256226085,2501.256637405098,9,ok,1.2581717568463652e-06,PASS
FT8,2.0381110999044717e-06,,6.532313966895642e-06,0.8353866222190014,0.00029260422917565254,0,4.013294827346789e-05,0.9724980071019639,0.0,0.0012157357331394891,0,0.00015443707376352976,0.9957967968693383,0.006332736471049455,0,1.6319686492905021,5.994112376048845e-09,3.8270192256226085,2501.256637405098,9,ok,1.7020186884470406e-05,PASS
FT2,0.00014130631623284577,h2_phase=0.1523;h3_phase=0.1992;h4_phase=0.2522,0.003820255782831576,0.8485866613016799,0.1522897371668286,0,0.004405063354734883,0.4047278945780103,0.0,0.19920201079631572,0,0.00605114669473936,0.38812996680414447,0.2521763534286936,0,1.7909093134570866,6.68895920514109e-12,954.932594681272,4.613725030792815,10,ok,0.0006901269883492507,FAIL
FT3,0.0005235282566770381,h2_phase=0.0640;h3_phase=0.1355;h4_phase=0.2159,0.003376217670167173,0.997182078016183,0.06400511959292099,0,0.003674414753655909,0.9472646028742804,0.0,0.13549328486507176,0,0.004440444271147427,0.835795660400145,0.2158879616206467,0,1.7909093134570866,6.68895920514109e-12,954.932594681272,4.613725030792815,10,ok,0.002547690585516859,FAIL
FT4,0.00022398357132640708,h2_phase=0.2916;h3_phase=0.7875;h4_phase=1.2822,0.012568789497431117,0.9960869740610755,0.29161927358024076,0,0.018141291064044357,0.8373068699826536,0.0,0.787521992074931,0,0.0300387393081066,0.871192867804268,1.2822219787589813,0,1.7909093134570866,6.68895920514109e-12,954.932594681272,4.613725030792815,10,ok,0.0006801975772173463,FAIL
FT8,0.00015549138307243278,h2_phase=0.0530;h3_phase=0.1980;h4_phase=0.2854,0.0026245494034129657,0.9977896949054279,0.052978494949607935,0,0.004109290187705062,0.92285672874846,2.7393924636243128e-05,0.19800834961250602,0,0.00558794059261968,0.914522791506631,0.28538300394246896,0,1.7909093134570866,6.68895920514109e-12,954.932594681272,4.613725030792815,10,ok,0.0010934122510841448,FAIL
FT2,1.1877806045453963e-06,,1.6090374000731477e-05,0.9586963082184891,0.00027826846695777624,0,0.00013131961554371436,0.9941253395030681,0.0,0.003634414396082697,0,0.00023469932939266093,0.9972839754551855,0.0048163887851429,0,1.3977065394166859,8.62839668031143e-10,1.0748096219198946,996043.963907312,11,ok,8.323242482872158e-06,PASS
