feature,k0_1,k0_2,k0_3,k0_4,k0_pre,gamma,G_OH,G_O,scaling_OOH_OH,E0_pre,Cdl,Ru,A
DC shape[16],0.0012210491183740075,-8.374766697229655e-07,-0.00029019977423584036,1.900860223342641e-08,0.0005512997238470299,0.0013458717631330594,0.009770797923262268,-0.001066049633475783,0.0025223125203900063,0.021874571333069505,-3.6464601885863264,-0.00022952219516311927,-0.0028238015962133507
DC shape[17],0.001179774440924082,3.915628830854179e-08,-0.00015569152647419392,2.0297858054008403e-07,0.0011166980184110066,-0.0003472723297937447,0.004541528559909061,-0.000349562424578956,0.001359839633995929,-0.03487976036815291,-4.368058600111385,0.0002222965639845216,-0.009012143434196143
DC shape[18],-0.0006191843066778788,-2.268411423410954e-07,-0.00010672801078127863,3.109816436942975e-07,-0.004164999644406869,0.0017767304987046247,-0.005540715030439229,-0.0009403152377070064,0.0009074678316494922,0.008385963133033395,2.1566128797896753,0.0001838435250703993,0.00822884590110471
DC shape[19],0.001082486947852084,-1.120060113076404e-06,-0.0004413040627384632,-1.0790563474536371e-07,0.0018299863506072186,0.0010425030098222268,0.02276964337959379,-0.0024210751482767546,0.0038041825941721023,-0.010013650687651376,-0.5875200915575675,0.00030205701044327336,0.0016968869667269046
DC shape[20],-0.0001612284055835834,-1.0043574896097849e-08,-7.97374385686204e-05,3.4827322549620543e-07,0.0011893907264629512,0.0011197588090379558,0.0014041666888806458,0.00033214411743780995,0.0007063231808552014,0.009923809667425412,6.674416840841847,-0.00014536787749414343,0.0001661829774335875
DC shape[21],0.0008725666793172417,-7.892267039727801e-07,-0.00027834890520604753,-5.3163700042617585e-08,0.001863782839540017,-0.00015880775965757473,0.01215204738078612,-0.00016871427674701673,0.002448600967362364,0.004276082852920771,-2.271066334020829,2.3559447965156813e-05,-0.0026348372940104654
DC shape[22],0.00028684231878340624,-2.766159490808146e-07,-0.00012889057960491937,3.7227096983594945e-08,-0.0009270151225347886,0.0016503484009025601,-0.0025032941210477652,0.0010338363696407794,0.0011688245719375814,-0.010036302305249028,-3.798665962616695,0.00038518764910229383,-0.001854667790988026
DC shape[23],-0.0003596194237644703,-1.0267335179577744e-06,-0.00013400198206626584,-8.769198171491406e-08,-0.0006657802366912284,-0.00027784729906079204,0.00752388335433498,-0.0027953257661470264,0.001088454178474312,0.0026004687575424314,2.704237821951034,3.835625631276106e-05,0.008952932929892361
DC shape[24],0.0019106800246560971,-6.595146211834424e-07,-1.0523052189243652e-05,1.1205746667454167e-08,0.002296318169200208,0.0011626102299090878,0.024916728350919792,-0.0029228765187651355,7.762853125045693e-06,-0.0036368627925632857,-6.449506115052857,3.680142440327437e-06,-0.013610859472591962
DC shape[25],0.0006081568502236883,-3.991041618008093e-07,-0.00038001151625474043,-2.2457850796893984e-07,0.00014889322053708316,0.0012578470375704982,-0.006117539745549102,0.002244176444939622,0.003418697513899241,0.0018275364186959172,-0.8778633926135656,-0.00020515699560281963,0.0009634602846373018
DC shape[26],-0.0007663223377651374,-1.5615726264147977e-07,0.0003594913268776238,9.597519193975808e-08,-0.000703696629287048,0.0034199084627255746,0.007017013586754103,-0.0037520351147469146,-0.0031708986309424087,0.009097849127501868,2.688655457186221,0.0003570912198950321,0.0037091128339133937
DC shape[27],6.653968221656073e-05,-7.856100976480671e-07,0.000254282891541307,1.3253915847257952e-07,0.0001466338072365806,-0.00032568513674389565,0.0033384976950385976,-0.006523819142504813,-0.0024292172265391737,0.002174360884831604,1.8532130569509526,-4.385322919692636e-05,0.006539522465882667
DC shape[28],0.0009665269143301829,9.640622363310027e-09,0.0006524764282155495,1.7365875990871286e-07,0.0032171861956563122,0.0009073810503472713,0.017546660403779155,-0.0076212592724205,-0.005932217413796976,-0.012227933210607146,-3.254124369456644,-0.00020300716483236472,-0.006985761343480751
DC shape[29],-0.0005591799781503698,-3.063787092980457e-07,0.000964977023543387,8.991574026950827e-08,-0.0010397500115761867,0.003214198311085694,0.018316185331353953,-0.008794553924801317,-0.007813508284056839,0.019689638116742743,0.7792378612061889,0.00010153114868064119,0.0016601256174439
DC shape[30],-0.0001284841570965027,-8.894240470909171e-07,0.0010626851887384167,2.2669995523615788e-07,-0.0010470305757223066,0.0020754663963288,-0.002426498958111239,-0.013622476160134823,-0.009626770068864268,0.0017994931114747204,0.8284431723636445,6.886310088078716e-05,0.00503366706767432
DC shape[31],0.00029679155958945764,-4.990653040905882e-07,0.0016028663843839597,-3.2197388960191044e-07,0.00042749369526623037,0.0021712962778975844,0.010667219071961356,-0.01721011341282266,-0.01434421185074096,-0.013296016608684435,-0.7331417681729289,0.00010809864609433199,-0.0025213154846805627
DC shape[32],-0.0003000891105521699,-3.730039091644505e-07,0.0022066016051628637,3.639988383146418e-07,-0.0005160956857744444,0.00203193185847229,0.03299431552750659,-0.02213133932994597,-0.019583043070154415,-0.0011931318301002989,1.5547198388554058,0.00020653816920771772,0.004282510428205675
DC shape[33],0.0002155602292644547,-7.026666783791738e-07,0.0028768850755566656,-3.2036476988599704e-08,0.0007507253500577416,0.003115844009159803,0.027786302512652,-0.02817354935404246,-0.02531815393286635,0.001291572826159755,-0.29416290789185623,0.0001414463907158383,-7.212555980094592e-05
DC shape[34],-5.6403000202364494e-05,-1.0515037236776908e-06,0.003708827431649406,-3.209087931336721e-07,0.0002699870912870908,0.005484897736437872,0.02665910503731465,-0.0348937894727668,-0.03236787008006983,0.0015708552033269645,-0.31858705778081586,8.698778544031116e-05,0.0010616980964220357
